"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","CMS","Software Systems","Customer Management System (CMS) a system for management of consumer engagement and complaints","Cloud","internet, Workstation, Power","","DICT/PURA","","Active","3","3","4","3","3","16","Tier-3"
"National Assembly (NA)","General Government","Law Making","Fiber Connection  wireless switches","Networks and Communication","Internet Connection","Gamtel and National Assembly","Fiber AP","private","Gamtel","Gamtel house","Active","3","3","3","3","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Interoperability standards","AWS Platform","Software Systems","Cloud platform used for hosting, scaling, and integration","e-Gov Data Center","Servers, Network, API Gateway","Public","GICTA ","97XR+6C4","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Linux Servers","Software Systems","Client OS for workstations","National Data Center","Dell Servers, Power, Network","Public","GICTA","97XR+6C7","Candidate","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Interoperability standards","Virtual Private Cloud (VPC)","Networks and Communication","Secure virtual network for cloud interoperability","e-Gov Data Center","Servers, Firewalls, Routers","Public","GICTA ","97XR+6C13","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Routers and Switches","Networks and Communication","for Company use","F83H+5WQ, Serrekunda","power cables and the trunking connectivity","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"National Assembly (NA)","General Government","Law Making","Bio matric time attendance","Software Systems","keep a trace of staff attendance","National Assembly ","KZ Timer","private","National Assembly","National Assembly Server Room","Active","3","3","3","3","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","MySQL","Software Systems","Stores transactional data","National Data Center","Linux/Windows Servers, Power","Public","GICTA","97XR+6C10","Candidate","4","4","3","2","4","17","Tier-3"
"National Assembly (NA)","General Government","Law Making","Access Points ","Networks and Communication","Internet Connection","National Assembly ICT","Cisco AP","Both ","National Assembly Gamtel","National Assembly Complex ","Active","3","3","3","3","3","15","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Fare Automation Collection and Reporting System (FACARS)","Software Systems","For revenue collection","Cloud based - AWS","1, Laptops for access backends
2. Electronic ticketing machines (ETM)
3. Internet
4. Power","GTSC"," Innovative Technology Group","Cloud based","Active","4","4","4","4","4","20","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Fibre Optic Internet","Networks and Communication","for supplying internet connectivity","GAMTEL","power cables and the trunking connectivity","THird Party/Private","Third party/private","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service"," WAN,","Networks and Communication","for Company use","F83H+5WQ, Serrekunda","Pwer internet cables and the Man power","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Idea to Life (Taamo Platform)","Software Systems","For revenue collection","The Gambia","Power,Battery,Internet,gsm services/Ticketing, Passenger movement","Private","GTSC","Cloud based","Active","3","4","4","4","4","19","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Yonna Microfinance App","Software Systems","for revenue collection","CLOUD BASED","power,Battery,Internet,gsm services/Ticketing, Passenger movement","Third Party/Private","Third party/private","Cloud based","Active","3","4","4","4","4","19","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Finex - My SQL","Data","Database used","F83H+5WQ, Serrekunda","ower,Battery,Internet,gsm services/Ticketing, Passenger movement","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","HR payroll Solution (Nanotech Solution)","Software Systems","employee Management software","cloud based - AWS","ower,Battery,Internet,gsm services/Ticketing, Passenger movement","tHird Party/Private","Third party/private","Cloud based","Active","4","4","4","4","4","20","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Infrastructure maintenance","Power Stations, Server Rooms, T&D Stations etc","Facilities","Facilities for various infrastructures","NAWEC HQ, Power Stations, T&D Stations","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, SCADA etc","NAWEC","IT, EBU, WSBU","","Active","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Interoperability standards","IPS (Intrusion Prevention System)","Networks and Communication","Detects and prevents malicious traffic","e-Gov Data Center","Firewall, Network, Power","Public","GICTA ","97XR+6C15","Candidate","4","3","3","2","4","16","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","ICT infrastructure planning","Operational database","Data","Configuration data for applications","National Data Center","MySQL, Servers, Network","Public","GICTA","97XR+6C11","Candidate","4","4","3","1","4","16","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Finacle core banking ","Software Systems","The central system that processes all banking transactions, manages customer accounts, and records financial data","HQ,DR","High (Core Banking App, SAN Storage, Electricity)","Private","GTBank Gambia","HQ","Active","4","4","2","3","3","16","Tier-3"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Water Resources Services","Water Monitoring Stations","Facilities","Physical Stations for 
collecting water 
quality and flow data","Various regions","GIS, Climsoft 
Irrigation, 
Public Health Authorities","MoFWR","Department 
Of Water 
Resources 
","","Active","4","3","3","2","4","16","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water supply and distribution","Treatment Plants","Facilities","Center for treating water to a standard where it is drinkable","Sukuta, Fajara, Brikama, Sifoe, Jamburr","Power, Treatment equipment, chemicals etc","NAWEC","WSBU","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water supply and distribution","Boreholes","Facilities","To produce water from the borholes","Various Borehole Sites","Power, Pumping Machines, Pipes etc","NAWEC","WSBU","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water supply and distribution","Database","Data","Provides database for data","NAWEC HQ","Provides database for data","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water supply and distribution","Severs","Software Systems","Provides services to NAWEC staff and customers","NAWEC HQ","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"National Records Service (NRS)","General Government","Government records management","NRS Office","Facilities","Office building","National Records Service","Electronic Records Management System","Government","National Records Service","F87H+M2J, Serrekunda","Active","2","3","4","3","4","16","Tier-3"
"National Records Service (NRS)","General Government","Government records management","AGD Office","Facilities","Office building","Accountant General Department","Electronic Records Management System","Government","National Records Service","FC3G+X5Q, Banjul","Active","3","3","4","3","4","17","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","VPN","Networks and Communication","A secure encrypted tunnel that allows remote employees and branches to securely access the bank's internal network and resources over the public internet","HQ,DR, Branches etc","Internet Connectivity, Firewalls, Authentication Servers, Certificate Authority","Private","GTBank Gambia","HQ","Active","4","4","2","3","3","16","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Data certer","Facilities","The physical facility housing the critical IT infrastructure, including servers, networking, and storage","HQ,DR","Electricity, Cooling, Security, SAN etc","Private","GTBank Gambia","HQ","Active","4","4","2","3","3","16","Tier-3"
"National Records Service (NRS)","General Government","Government records management","Records Officers","Human","Users","National Records Service","Electronic Records Management System","Government","National Records Service","F87H+M2J, Serrekunda","Active","4","4","2","2","4","16","Tier-3"
"National Records Service (NRS)","General Government","Government records management","IT Technicians","Human","The IT technicians provide hands-on support for hardware, software, networks and user issues.","National Records Service","Electronic Records Management System","Government","National Records Service","F87H+M2J, Serrekunda","Active","4","4","2","2","4","16","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Branches","Facilities","Physical bank branches for customer service and operations.","All Facilities","Network Connectivity, Electricity, Core Banking System","Private","GTBank Gambia","HQ","Active","4","4","2","3","4","17","Tier-3"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Criminal Records Database","Data","Repository of arrest, conviction, and traffic records for policing.","Police HQ, Banjul","Servers, Backup storage, Networks; Downstream: Courts, prisons, ministries","Public","GPS Records Office","HQ Datacenter","Active","4","3","2","2","4","15","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","SAN ","Hardware and Computing Infrastructure","Network switches dedicated to the Storage Area Network","HQ,DR","Dell Server, LAN Connectivity, Internet,Electricity,etc","Private","GTBank Gambia","HQ","Active","4","4","2","2","3","15","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","ERMS","Software Systems","Collaboration and Notification","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Payment and Revenue platform","Data","Revenue collection","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Server OS","Software Systems","Windows Operating Systems","AGD- Server Room","Application Systems","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Financial information system (IFMIS)","Software Systems","Government Financial Management Sytems","AGD- Server Room","Payment Systems","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management"," Database","Data","Data warehousing","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Fire Alarm","Hardware and Computing Infrastructure","Safety/Emergency Equipment","AGD Office","staff safety","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Cooling system","Hardware and Computing Infrastructure","Environmental Cooling","AGD Office","hardware","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Epicor 10","Software Systems","Payement module ","AGD- Server Room","API  and Payment","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Hitsdna","Software Systems","Payroll","AGD- Server Room","gateway","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Reportal","Software Systems","Reporting","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","CBMS","Software Systems","Budget Management","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","SAN Switch","Hardware and Computing Infrastructure","Network switches dedicated to the Storage Area Network","HQ,DR","Dell Server, LAN Connectivity, Internet,Electricity,etc","Private","GTBank Gambia","HQ","Active","4","4","2","2","3","15","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Linux server","Software Systems","A server running the Linux operating system, hosting critical applications like web services, databases, or internal banking platforms","HQ,DR","Medium (Application it hosts, Electricity, Cooling, Network Connectivity)","Private","GTBank Gambia","HQ","Active","4","3","2","3","3","15","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Water quality Monitoring","Water Assessment Lab","Facilities","To assess if the water if fit for consumption or not","WSBU HQ, Traetment Centers, Lab","Third party lab, PURA etc","NAWEC","WSBU, Lab","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Grid Load Balancing System","EBU (Power Generation / T&D) Centers","Facilities","Base for Power Generation / Transmission and Distribution Teams","Power Stations, T&D Stations","SCADA Sytems, customer calls","NAWEC","EBU","","Active","4","4","4","1","4","17","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","CDR Data,","Data","Caller detail records","PURA","workstation","","DICT/PURA","","Active","3","4","4","4","2","17","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","Telecoms Gateway management System","Software Systems","Management of telecoms gateway","ACE Building","internet, Workstation, Power","","DICT/PURA","","Active","4","4","4","4","2","18","Tier-3"
"Gam Ferries Services (GFS)","Transport","Vehicle transport","avery weighing tronix","Software Systems","provide Ferry tickets","GFS","power, computers, Network","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","3","4","2","3","16","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Mechanics","Hardware and Computing Infrastructure","for seupporting GTSC technical needs","F83H+5WQ, Serrekunda","company infrascture","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Finex","Software Systems","Processing Payments and receivables","F83H+5WQ, Serrekunda","power,Battery,Internet,gsm services/Ticketing, Passenger movement","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","access point","Software Systems","send & recieve data and transmission","transmission room","fiber modem, power/broadcast equipment","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","datacenter","Facilities","platform the workflow is installed","GRTS","power, UPS Backup power/workstation,Access Control","GRTS","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","fiber modem","Hardware and Computing Infrastructure","modulate and demodulate internet and transmission","transmission room","internet connectivity, access point power/encoder, LAN","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Service Stations","Facilities","for serving the population","other regions in the Gambia","infracture,buildings and power","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","PISTT System","Software Systems","PURA Information System for Tanker Trucks (PISTT) is a web-based application system that tracks the license application, inspections, and vehicle information of tanker trucks,","Cloud","Internet, Workstation, Power","","DICT/PURA","","Active","3","3","4","3","4","17","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","National Petroleum Inspection System (NPIS)","Software Systems","The National Petroleum Inspection System (NPIS) is an online platform used in The Gambia for registering and applying for petroleum licenses, as well as tracking the status of submitted applications. It provides access to a digital copy of approved licens","Cloud","Internet, Workstation, Power","","PURA/MoPE","","Active","3","4","4","3","3","17","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","SYNOLOGY NAS","Hardware and Computing Infrastructure","archival backup","data center","power, LAN/workstations and editing suites","GRTS","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","Billing Verification System","Software Systems","For verification of billing complaints from consumers of utilities services","Cloud","internet, Workstation, Power","","DICT/PURA","","Candidate","3","3","3","4","2","15","Tier-3"
"PURA & GmCSIRT","Information and Communications","ICT / Telecom, Energy, broadcasting, ","ERP","Software Systems","Enterprise Resource Planning (ERP) is a comprehensive software system designed to manage and integrate various core business processes within an organization","PURA/Hybrid","internet, Workstation, Power","","DICT/PURA","","Candidate","1","3","4","3","4","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","internet connectivity","Software Systems","send & recieve data and transmission","transmission room","fiber modem, power/broadcast equipment","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","Galileo","Software Systems","Ticketing","Galileo Cloud Solution","Internet, Laptop, power","GIA","GIA","Cloud","Active","3","3","4","4","4","18","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Internet Connectivity","Networks and Communication","Primary and secondary internet links for online banking, API services, and branch connectivity","HQ,DR, All Facilities","External ISPs","Private","GTBank Gambia","HQ","Active","4","4","2","3","3","16","Tier-3"
"GTBank","Banking and Finance","Commercial banking services","Cisco Switches","Hardware and Computing Infrastructure","connecting servers to storage arrays and different Departments","HQ,DR, Branches etc","network connectivity, Electricity, etc","Private","GTBank Gambia","HQ","Active","4","4","2","3","3","16","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","ingest","Software Systems","workflow","data center","workstation/control room, Editing, Library","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","Routers and Switches","Hardware and Computing Infrastructure","For network connectivity","Banjul International Airport","Server Room, Cabling, Power, Cooling, Internet","GIA","GIA","88VX+H3C","Active","4","3","4","4","4","19","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","switches","Hardware and Computing Infrastructure","networking the servers and theworkstations","transmission room","internet connectivity, access point, power/LAN","PRIVATE","GRTS","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","program content and media","Data","materials collected from production","in the field","camera/ingest","GRTS","","","Active","4","2","4","2","3","15","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Servers","Networks and Communication","enable service delivery for the company","F83H+5WQ, Serrekunda","power cables and the trunking connectivity","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","4","4","4","4","4","20","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","FinEx","Software Systems","Acciunting Package","Banjul International Airport","LAN, Internet, Laptops/workstation, power, FinEx Server","GIA","GIA","88VX+H3C","Active","4","4","4","4","4","20","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","SQL Database","Data","Database","Banjul International Airport","SQL Server, Internet, Power, LAN","GIA","GIA","88VX+H3C","Active","4","4","4","3","3","18","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","agricultural and Educational Data","Data","agricultural ","production unit","workstation/synology nas","GRTS","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","Radios(Two way)","Networks and Communication","Two-way Communication","Banjul International Airport","Batteries","GIA","GIA","88VX+H3C","Active","3","4","4","4","4","19","Tier-3"
"Gambia International Airlines (GIA)","Transport","Ground handling","Phones(CUG)","Networks and Communication","Communication","Banjul International Airport, Kairaba Avenue","Power, Airtime","GIA","GIA","88VX+H3C","Active","4","3","4","3","4","18","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","UPS Backup power","Hardware and Computing Infrastructure","avoid power interruption","data center","power/LAN, Internet connectivity,synology NAS, fiber modem and switches","GRTS","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"Gambia Radio and Television Services (GRTS) ","Information and Communications","Educational and Agricultural Programs","production metadata","Data","Producer and camera operator and program details","programmes department","ingest/editing suites","GRTS","","F86C+8Q9, Serrekunda","Active","4","2","4","2","3","15","Tier-3"
"DK Telecom","Information and Communications","ICT consulting services","Iconradius","Data","Data records management","Cloud/Icon Support","Subscription, Inspection, Auditing, Counsultation, Support","DK Telecom","Icon Wave","","Active","3","4","4","3","3","17","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Pharmacy Licensing & Registration","Power","Facilities","Power supply for the daily activities of the Secretariat","PCG Secretariat","1. Power Supply
","Public NAWEC","PCG","98F4+63Q","Active","4","3","3","3","2","15","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Urban/peri-urban bus service","Mobile Money Platform (Wave App)","Software Systems","for revenue collection","Cloud based ","power,Battery,Internet,gsm services/Ticketing, Passenger movement","Third Party/Private","Third party/private","Cloud based","Active","3","4","4","4","4","19","Tier-3"
"Gamcel","Information and Communications","Customer Services","Ip phones","Hardware and Computing Infrastructure","For communication","Abuko complex","","Private","Gamtel/Gamcel","Abuko complex","Active","4","3","1","4","4","16","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","SQL Database for software applications","Software Systems","Database","Mandinari Depot","Power, Liences,Servers","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","3","4","3","3","17","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Internet, Wireless, Ethernet Card","Networks and Communication","Connectivity","Mandinari Depot","Power, network","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","4","4","20","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Server Room, ","Facilities","Host Station","Mandinari Depot","Power, Servers,Switchs, Laptop\Desktop","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","3","4","3","3","17","Tier-3"
"AFRICEL","Information and Communications","Data Services","Firewall","Hardware and Computing Infrastructure","Network Backbone","Africell HQ","Mobile Data","Africell","Africell Team","F839+H6X","Active","4","4","4","2","4","18","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Servers","Hardware and Computing Infrastructure","Software Host and VM Machine","Mandinari Depot","Power, Network, Internet, OS","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","4","4","20","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Petroleum Supply","Switchs","Hardware and Computing Infrastructure","network connectivity","Mandinari Depot","Power, Network Cabling","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","3","4","19","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Payment Sytems Management","Automated Clearing House system","Software Systems","Processes bulk and retail payment instructions such as salary payments, utilities, and direct debits.","CBG Data Center,","Upstream: CBS, VPN, core network
Downstream: commercial banks, retailers","Private","BPSD, ICTD","FC3G+9Q, Banjul","Active","4","4","4","4","4","20","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Payment Sytems Management","SWIFT ","Software Systems","Facilitates secure international and domestic financial messaging and settlements between CBG and other banks.","CBG Data Center,","Upstream: CBG core network, VPN
Downstream: CBS","Hybrid (CBG + SWIFT Network)","FD, ICTD","FC3G+9Q, Banjul","Active","4","4","4","4","4","20","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Payment Sytems Management","Real-Time Gross Settlement System","Software Systems","Enables real time interbank settlement of high-value transactions.","CBG Data Center","Upstream: CBS, VPN, CBG core network
Downstream: commercial bank operations, monetary policy","Private","BPSD, ICTD","FC3G+9Q, Banjul","Active","4","4","4","4","4","20","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Payment Sytems Management","Core Banking System (CBS)","Hardware and Computing Infrastructure","Core banking system managing government accounts, settlements, and internal CBG financial operations.","CBG Data Center","Upstream: IT infrastructure, network services
Downstream: RTGS, ACH, SWIFT","Private","ICTD, BPSD, FD","FC3G+9Q, Banjul","Active","2","4","4","3","4","17","Tier-3"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Avery weighing Tronix (Ticketing system)","Software Systems","Ticketing","GFS","Computers, power","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","3","4","3","3","17","Tier-3"
"Trust Bank","Banking and Finance","Digital banking platforms","ATM Machines","Hardware and Computing Infrastructure","For hosting and dispensing cash to customers.","HO- Banjul","power, internet, cables,server","Trust Bank","Trust Bank IT","3-4 Ecowas Avenue, Banjul","Active","3","4","3","2","4","16","Tier-3"
"The Gambia Pharmacy Council (GPC)","Health and Well‐Being","Registration and Regulation of Pharmacist and Pharmacy Support Personnel","Applicant Registration Records","Data","1. Registration of new pharmacy personnel, 2. Renewal of practice certificate","PCG Secretariat","1. Laptops
2. Degree certificates and attestation
3. Verification confirmation of completion from institution
4. Bank Deposit Slip
5. National Identification of registrant
6. Internet
7. CPD certificate","PCG","PCG","98F4+63Q","Active","4","4","3","3","4","18","Tier-3"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Servers","Hardware and Computing Infrastructure","Resource Sharing, Data management and storage","GFS","Power, network","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","4","2","3","15","Tier-3"
"Gam Ferries Services (GFS)","Transport","Passenger crossings","Ferry tracker app","Software Systems","Tracking ferry location","cloud","mobile,internet","GFS","AUUTEK","CLOUD","Active","3","1","4","4","3","15","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","WAN","Networks and Communication","Network Communication","Gamtel","network uplink","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"National Assembly (NA)","General Government","Oversight","website Social Media holders, official emailand OBS","Software Systems","dissermaion of information to the word ","National Assembly sky telecom","Cloud","Public","National Assembly SKY Telecom","Cloud","Active","4","4","2","2","4","16","Tier-3"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Digital Learning Platforms","Mobile Device","Hardware and Computing Infrastructure","Android Mobile to access the video lectures in the SD Card","All Public Upper Basic and Senior Secondary School","Mobile Phone","Public","Students, Parents","","Active","4","3","4","4","2","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Uninterrupted Power Supply (UPS)","Hardware and Computing Infrastructure","Backup power systems supporting critical infrastructure","GICTA Office","Power grid, Maintenance, Servers, Network, Cooling systems","Public","GICTA","97XR+6C25","Candidate","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","Linux Server OS","Software Systems","Operating system for servers; supports Government Cloud Platform, e-Gov applications","GICTA Office","Dell Servers, Power/UPS, Cooling, National Digital ID System, Government Cloud Platform, Applications","Public","GICTA","97XR+6C3","Candidate","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Digital transformation initiatives","National Digital Addressing System","Software Systems","Supports national identification and addressing services","GICTA Office","Linux/Windows Servers, Database, Network, Digital ID System, Cloud services, Government applications","Public","GICTA","97XR+6C6","Candidate","4","4","3","2","3","16","Tier-3"
"AFRICEL","Information and Communications","Data Services","ACE Cable System","Networks and Communication","Internet Provider","ACE Cable Station","Internet","ACE","ACE","C77J","Active","4","4","2","2","4","16","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","Monetary policy implementation","Monetary Policy Committee","Human","committee that make policy decision","CBG HQ","-Economists, Statisticians
-Monetary policy reports","CBG","ERD","FC3G+9Q, Banjul","Active","2","4","2","4","4","16","Tier-3"
